//X;Y;Z;R;G;B;Number_of_Returns;Return_Number;Time;Intensity
0.85400182;10.41100025;3.57240558;37;35;38;1.000000;1.000000;68263.101563;4542.000000
0.86400181;10.42000008;3.56240559;54;52;52;1.000000;1.000000;68263.156250;4542.000000
0.81200182;10.39599991;3.54440570;30;27;37;1.000000;1.000000;68263.156250;4542.000000
0.78200179;10.37600040;3.50940561;31;30;28;2.000000;1.000000;68263.203125;1947.000000
0.80900180;10.39700031;3.50140572;29;27;31;1.000000;1.000000;68263.250000;4542.000000
0.89900178;10.38899994;3.51240563;117;117;105;1.000000;1.000000;68263.304688;4542.000000
0.81900179;10.40699959;3.48440576;27;25;26;1.000000;1.000000;68263.304688;4542.000000
0.89800179;10.39500046;3.49040556;104;105;99;1.000000;1.000000;68263.351563;4542.000000
0.86100179;10.41100025;3.47740579;44;43;50;1.000000;1.000000;68263.351563;4542.000000
0.92000180;10.33500004;3.42140555;146;149;130;1.000000;1.000000;68263.507813;3244.000000
0.76400179;10.35099983;3.35940576;30;30;33;2.000000;1.000000;68263.507813;649.000000
0.91900182;10.34300041;3.39440560;145;147;136;1.000000;1.000000;68263.554688;4542.000000
0.91900182;10.34000015;3.36240578;147;148;142;1.000000;1.000000;68263.601563;3244.000000
0.82600182;10.39500046;3.32240558;29;29;37;1.000000;1.000000;68263.601563;4542.000000
0.77800179;10.37399960;3.30240560;32;32;39;2.000000;1.000000;68263.601563;1947.000000
0.92300183;10.34300041;3.33640575;146;147;141;1.000000;1.000000;68263.656250;3244.000000
0.87500179;10.39999962;3.31440568;83;82;80;1.000000;1.000000;68263.656250;4542.000000
0.78700179;10.38199997;3.27740574;31;31;41;2.000000;1.000000;68263.656250;1947.000000
0.91500181;10.34700012;3.30240560;138;139;131;1.000000;1.000000;68263.703125;3244.000000
0.89800179;10.38700008;3.29440570;111;108;105;1.000000;1.000000;68263.703125;4542.000000
0.82800180;10.39900017;3.26340556;39;40;45;1.000000;1.000000;68263.703125;4542.000000
0.77400178;10.37199974;3.24040556;32;31;30;2.000000;1.000000;68263.703125;649.000000
0.88800180;10.39799976;3.26140571;91;93;89;1.000000;1.000000;68263.757813;4542.000000
0.81200182;10.39500046;3.22640562;38;39;43;1.000000;1.000000;68263.757813;3244.000000
0.88100183;10.39599991;3.22340560;91;93;90;1.000000;1.000000;68263.804688;4542.000000
0.91200179;10.35599995;3.16940570;140;142;132;1.000000;1.000000;68263.906250;4542.000000
0.89300179;10.38199997;3.15840578;97;99;93;1.000000;1.000000;68263.906250;4542.000000
0.77000183;10.36100006;3.09840560;35;34;36;2.000000;1.000000;68263.906250;1947.000000
0.91800177;10.32699966;3.13640571;150;153;144;1.000000;1.000000;68263.953125;3244.000000
0.87800181;10.38899994;3.07840562;98;94;91;1.000000;1.000000;68264.007813;5840.000000
0.80300182;10.38399982;3.03940558;35;39;42;1.000000;1.000000;68264.007813;3244.000000
